epoch,station_name,train_loss,val_loss,val_acc,val_prec,val_rec,val_f1,time
4107,uka,0.05701135843992233,0.05700433626770973,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.349213+02:00
4108,uka,0.05700433999300003,0.056997328996658325,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.351050+02:00
4109,uka,0.056997328996658325,0.05699031054973602,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.352942+02:00
4110,uka,0.05699031427502632,0.056983303278684616,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.354795+02:00
4111,uka,0.056983303278684616,0.05697629228234291,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.356639+02:00
4112,uka,0.05697628855705261,0.0569692961871624,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.358469+02:00
4113,uka,0.0569692999124527,0.05696229636669159,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.360317+02:00
4114,uka,0.05696230009198189,0.05695529654622078,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.362141+02:00
4115,uka,0.056955303996801376,0.056948304176330566,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.364009+02:00
4116,uka,0.05694831162691116,0.056941308081150055,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.365865+02:00
4117,uka,0.05694131553173065,0.056934330612421036,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.367713+02:00
4118,uka,0.056934334337711334,0.05692734569311142,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.369546+02:00
4119,uka,0.05692734941840172,0.0569203719496727,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.371386+02:00
4120,uka,0.0569203682243824,0.05691339075565338,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.373264+02:00
4121,uka,0.05691338703036308,0.056906405836343765,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.375122+02:00
4122,uka,0.05690641328692436,0.05689944326877594,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.376990+02:00
4123,uka,0.05689944326877594,0.05689247325062752,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.378848+02:00
4124,uka,0.05689247325062752,0.056885503232479095,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.380688+02:00
4125,uka,0.05688551068305969,0.05687854811549187,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.382512+02:00
4126,uka,0.05687854811549187,0.05687159672379494,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.384374+02:00
4127,uka,0.05687159299850464,0.05686463788151741,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.386216+02:00
4128,uka,0.05686463788151741,0.05685768648982048,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.388050+02:00
4129,uka,0.05685768276453018,0.05685073882341385,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.389885+02:00
4130,uka,0.05685073882341385,0.05684377998113632,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.391738+02:00
4131,uka,0.05684378743171692,0.05683685466647148,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.393586+02:00
4132,uka,0.056836843490600586,0.05682991445064545,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.395415+02:00
4133,uka,0.056829918175935745,0.05682298168540001,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.397285+02:00
4134,uka,0.05682297796010971,0.056816041469573975,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.399100+02:00
4135,uka,0.056816041469573975,0.056809116154909134,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.400966+02:00
4136,uka,0.05680910870432854,0.056802187114953995,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.402797+02:00
4137,uka,0.05680219084024429,0.056795261800289154,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.404651+02:00
4138,uka,0.05679526925086975,0.05678835138678551,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.406476+02:00
4139,uka,0.05678834393620491,0.056781426072120667,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.408462+02:00
4140,uka,0.056781429797410965,0.05677451193332672,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.410385+02:00
4141,uka,0.05677451565861702,0.05676761269569397,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.412231+02:00
4142,uka,0.05676760524511337,0.056760698556900024,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.414051+02:00
